OCC_CLS,SQFEET,PROP_ADDR,PROP_CITY,E
Commercial,3444.79,797 NORTH PARK SHADOWS LANE,BOUNTIFUL,
Residential,3115.149,929 EAST CENTER STREET,BOUNTIFUL,
Residential,2670.115,489 NORTH 1250 EAST,BOUNTIFUL,
Residential,1450.436,167 EAST 300 NORTH,BOUNTIFUL,
Residential,5538.053,820 NORTH 250 WEST,BOUNTIFUL,
Residential,593.3657,388 WEST CENTER STREET,BOUNTIFUL,
Commercial,1450.45,830 NORTH 500 WEST,BOUNTIFUL,
Residential,1846.021,538 NORTH 750 EAST,BOUNTIFUL,
Residential,1186.731,341 EAST 300 NORTH,BOUNTIFUL,
Residential,527.4385,174 WEST CENTER STREET,BOUNTIFUL,
Residential,988.9291,363 EAST 300 NORTH,BOUNTIFUL,
Residential,6081.958,826 NORTH 225 WEST,BOUNTIFUL,
Residential,2900.86,620 NORTH 325 WEST,BOUNTIFUL,
Residential,2373.446,1478 EAST CENTER STREET,BOUNTIFUL,
Residential,791.147,548 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,2538.244,1328 EAST 600 NORTH,BOUNTIFUL,
Residential,2109.719,307 NORTH 300 EAST,BOUNTIFUL,
Residential,1977.883,298 WEST 800 NORTH,BOUNTIFUL,
Residential,4763.387,677 WEST 810 NORTH,WEST BOUNTIFUL,
Residential,1054.878,,,
Commercial,5340.232,48 NORTH 500 WEST,BOUNTIFUL,
Residential,1582.295,,,
Residential,988.9291,,,
Residential,2769.003,548 EAST 550 NORTH,BOUNTIFUL,
Residential,890.0424,166 WEST 300 NORTH,BOUNTIFUL,
Residential,1186.719,85 EAST 300 NORTH,BOUNTIFUL,
Residential,3362.357,811 NORTH VINTAGE CIRCLE,WEST BOUNTIFUL,
Commercial,3757.96,25 NORTH 200 WEST,BOUNTIFUL,
Residential,5785.289,819 NORTH 225 WEST,BOUNTIFUL,
Residential,1054.857,,,
Residential,527.433,,,
Residential,1285.615,306 NORTH 200 EAST,BOUNTIFUL,
Residential,2307.517,478 EAST 550 NORTH,BOUNTIFUL,
Commercial,1977.872,48 NORTH 200 WEST,BOUNTIFUL,
Residential,2966.802,790 EAST 550 NORTH,BOUNTIFUL,
Residential,1318.579,300 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,1153.756,94 WEST 300 NORTH,BOUNTIFUL,
Residential,1714.156,824 NORTH 275 WEST,BOUNTIFUL,
Residential,3955.72,1665 EAST VIEWCREST DRIVE,BOUNTIFUL,
Residential,1681.186,820 NORTH CHAPEL DRIVE,BOUNTIFUL,
Residential,2801.982,538 EAST 550 NORTH,BOUNTIFUL,
Residential,2769.024,504 EAST 550 NORTH,BOUNTIFUL,
Residential,1631.734,308 NORTH 100 EAST,BOUNTIFUL,
Residential,1582.295,22 WEST 800 NORTH,BOUNTIFUL,
Residential,4153.524,8 NORTH BOUNTIFUL BOULEVARD,BOUNTIFUL,
Residential,395.5703,,,
Residential,1845.984,746 EAST 550 NORTH,BOUNTIFUL,
Commercial,8175.194,387 WEST 400 NORTH,BOUNTIFUL,
Residential,659.2948,160 WEST 300 NORTH,BOUNTIFUL,
Residential,3164.587,1480 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,2307.509,24 SOUTH 1250 EAST,BOUNTIFUL,
Residential,1186.728,830 NORTH 200 WEST,BOUNTIFUL,
Residential,2307.501,572 EAST 550 NORTH,BOUNTIFUL,
Residential,5076.53,1396 EAST PHEASANT RIDGE CIRCLE,BOUNTIFUL,
Residential,2241.596,765 EAST CENTER STREET,BOUNTIFUL,
Residential,1582.293,310 NORTH 400 EAST,BOUNTIFUL,
Residential,3461.257,791 NORTH 750 WEST,WEST BOUNTIFUL,
Residential,1977.881,516 EAST 550 NORTH,BOUNTIFUL,
Commercial,7120.327,27 NORTH 500 WEST,BOUNTIFUL,
Residential,3626.091,499 NORTH 200 WEST,BOUNTIFUL,
Residential,2670.13,795 NORTH 100 EAST,BOUNTIFUL,
Residential,1186.723,418 WEST CENTER STREET,BOUNTIFUL,
Residential,593.3621,887 NORTH 1000 EAST,BOUNTIFUL,
Residential,3131.633,790 NORTH 750 WEST,WEST BOUNTIFUL,
