OCC_CLS,SQFEET,PROP_ADDR,PROP_CITY,E
Residential,1384.508,845 NORTH 325 WEST,BOUNTIFUL,
Residential,2999.769,671 EAST 350 NORTH,BOUNTIFUL,
Residential,3461.265,76 NORTH TIERRA VISTA COURT,BOUNTIFUL,
Residential,7120.318,320 NORTH 500 WEST,BOUNTIFUL,
Residential,791.1489,237 EAST 550 NORTH,BOUNTIFUL,
Utility and Misc,11422.14,,,
Residential,2225.096,840 NORTH 325 WEST,BOUNTIFUL,
Residential,2801.985,867 WEST 850 NORTH,WEST BOUNTIFUL,
Residential,1186.71,72 NORTH 100 WEST,BOUNTIFUL,
Residential,2373.433,1225 WEST JESSI S MEADOW WAY,WEST BOUNTIFUL,
Residential,2966.804,1185 WEST JESSI S MEADOW WAY,WEST BOUNTIFUL,
Residential,1054.858,1307 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1846.006,578 NORTH 660 WEST,WEST BOUNTIFUL,
Commercial,642.8167,85 NORTH 200 WEST,BOUNTIFUL,
Commercial,791.1502,550 WEST 550 NORTH,WEST BOUNTIFUL,
Residential,1714.142,845 NORTH 275 WEST,BOUNTIFUL,
Residential,1054.874,365 NORTH 100 WEST,BOUNTIFUL,
Residential,2076.763,1309 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,3082.178,1584 EAST 50 NORTH,BOUNTIFUL,
Residential,3790.917,321 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,593.3563,317 EAST 550 NORTH,BOUNTIFUL,
Utility and Misc,1318.583,,,
Utility and Misc,2637.166,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,1977.867,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,2966.802,682 WEST 810 NORTH,WEST BOUNTIFUL,
Residential,1977.875,1091 EAST CENTER STREET,BOUNTIFUL,
Commercial,1087.827,865 NORTH 250 WEST,BOUNTIFUL,
Residential,3428.288,1412 EAST NORTHRIDGE DRIVE,BOUNTIFUL,
Residential,988.9351,370 NORTH 100 WEST,BOUNTIFUL,
Government,2472.324,,,
Utility and Misc,13465.98,,,
Utility and Misc,1318.565,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,4746.874,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,17866.76,1429 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,2373.438,766 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,791.1565,260 EAST 400 NORTH,BOUNTIFUL,
Residential,1994.359,594 NORTH 870 WEST,WEST BOUNTIFUL,
Residential,527.4216,720 EAST 100 NORTH,BOUNTIFUL,
Residential,1977.873,1200 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,2241.59,863 NORTH 700 EAST,BOUNTIFUL,
Residential,1681.193,998 EAST 350 NORTH,BOUNTIFUL,
Residential,1977.862,1075 EAST CENTER STREET,BOUNTIFUL,
Residential,2472.348,351 NORTH 450 EAST,BOUNTIFUL,
Residential,3560.163,630 NORTH 975 WEST,WEST BOUNTIFUL,
Residential,2307.511,588 NORTH 840 WEST,WEST BOUNTIFUL,
Residential,3164.586,784 NORTH NORTHRIDGE DRIVE,BOUNTIFUL,
Residential,1483.395,11 SOUTH 1250 EAST,BOUNTIFUL,
Residential,576.8763,25 WEST 900 NORTH,BOUNTIFUL,
Residential,4845.799,1123 EAST 300 NORTH,BOUNTIFUL,
Residential,1384.507,555 NORTH 660 WEST,WEST BOUNTIFUL,
Utility and Misc,3692.021,,,
Residential,1730.635,1329 EAST VINEYARD DRIVE,BOUNTIFUL,
Residential,2801.983,1155 EAST NORTHERN HILLS DRIVE,BOUNTIFUL,
Residential,1846.031,1057 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1582.296,332 NORTH 300 WEST,BOUNTIFUL,
Residential,1977.871,640 NORTH 325 WEST,BOUNTIFUL,
Residential,824.1158,331 EAST 550 NORTH,BOUNTIFUL,
Residential,725.2142,185 WEST 100 NORTH,BOUNTIFUL,
Residential,2109.718,791 EAST 550 NORTH,BOUNTIFUL,
Commercial,2307.528,830 NORTH 500 WEST,BOUNTIFUL,
Residential,1977.869,864 NORTH 650 EAST,BOUNTIFUL,
Residential,1318.566,360 NORTH 400 EAST,BOUNTIFUL,
Residential,1846.02,48 NORTH 750 EAST,BOUNTIFUL,
Residential,1977.856,954 EAST 350 NORTH,BOUNTIFUL,
Residential,2999.744,1145 EAST 500 NORTH,BOUNTIFUL,
Residential,791.1523,10 NORTH 1300 EAST,BOUNTIFUL,
Residential,3131.62,575 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,5142.454,847 WEST 850 NORTH,WEST BOUNTIFUL,
Residential,593.3483,556 EAST 900 NORTH,BOUNTIFUL,
Residential,1928.427,980 EAST 350 NORTH,BOUNTIFUL,
Residential,988.9198,1229 EAST CENTER STREET,BOUNTIFUL,
Residential,1186.729,360 NORTH 100 EAST,BOUNTIFUL,
Residential,2472.338,593 NORTH 870 WEST,WEST BOUNTIFUL,
Residential,1054.858,220 EAST 900 NORTH,BOUNTIFUL,
Residential,2109.729,1197 EAST CENTER STREET,BOUNTIFUL,
Residential,4746.894,1353 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,1153.748,995 EAST 550 NORTH,BOUNTIFUL,
Government,593.3607,,,
Residential,2109.731,825 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,1648.2,393 NORTH 100 WEST,BOUNTIFUL,
Residential,593.3641,1329 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,2637.156,80 NORTH 600 EAST,BOUNTIFUL,
Residential,1186.705,390 EAST 400 NORTH,BOUNTIFUL,
Commercial,4615.037,557 NORTH 200 WEST,BOUNTIFUL,
Residential,1846.002,89 WEST 900 NORTH,BOUNTIFUL,
Residential,1186.725,210 EAST 900 NORTH,BOUNTIFUL,
Residential,2109.716,708 EAST 100 NORTH,BOUNTIFUL,
Government,527.4287,,,
Residential,4153.534,1483 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,988.9319,196 EAST 400 NORTH,BOUNTIFUL,
Residential,5570.995,1217 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,1977.866,149 WEST 400 NORTH,BOUNTIFUL,
Government,527.4305,,,
Government,791.1592,,,
Residential,3691.999,240 EAST 900 NORTH,BOUNTIFUL,
Industrial,1186.724,,,
Residential,988.9346,512 EAST 900 NORTH,BOUNTIFUL,
Residential,3065.692,735 WEST 400 NORTH,WEST BOUNTIFUL,
Government,6329.174,600 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,1384.501,224 EAST 650 NORTH,BOUNTIFUL,
Residential,3428.296,418 WEST CENTER STREET,BOUNTIFUL,
Residential,3164.583,585 NORTH 1300 EAST,BOUNTIFUL,
Residential,1318.575,220 EAST 900 NORTH,BOUNTIFUL,
Residential,1318.582,168 EAST 400 NORTH,BOUNTIFUL,
Commercial,857.068,403 WEST 400 NORTH,BOUNTIFUL,
Residential,7862.031,1429 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,2801.984,334 NORTH 750 WEST,WEST BOUNTIFUL,
Residential,1186.729,626 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,5191.903,815 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,4895.216,1163 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Commercial,1186.716,830 NORTH 500 WEST,BOUNTIFUL,
Residential,4219.447,375 NORTH 100 EAST,BOUNTIFUL,
Residential,1846.025,196 EAST 650 NORTH,BOUNTIFUL,
Government,2109.736,194 EAST SKYHAWK DRIVE,WENDOVER,
Commercial,3164.591,110 NORTH PEREGRINE LANE,BOUNTIFUL,
Utility and Misc,3856.843,,,
Residential,2142.673,896 NORTH 600 EAST,BOUNTIFUL,
Residential,3428.309,352 NORTH DAVIS BOULEVARD,BOUNTIFUL,
Residential,2142.68,44 NORTH 1300 EAST,BOUNTIFUL,
Residential,2373.43,171 WEST 400 NORTH,BOUNTIFUL,
Residential,2307.512,298 WEST 650 NORTH,BOUNTIFUL,
Residential,988.9361,236 EAST 650 NORTH,BOUNTIFUL,
Government,7384.063,,,
Residential,988.9361,122 EAST 900 NORTH,BOUNTIFUL,
Commercial,2637.158,105 NORTH PEREGRINE LANE,BOUNTIFUL,
Residential,2637.174,764 EAST 900 NORTH,BOUNTIFUL,
Residential,2637.15,290 EAST 400 NORTH,BOUNTIFUL,
Residential,1499.881,188 EAST 650 NORTH,BOUNTIFUL,
Residential,2637.139,418 WEST CENTER STREET,BOUNTIFUL,
Residential,1714.16,718 EAST 900 NORTH,BOUNTIFUL,
Residential,2472.335,365 NORTH 900 EAST,BOUNTIFUL,
Residential,2109.734,79 NORTH 800 EAST,BOUNTIFUL,
Residential,1450.451,118 EAST 400 NORTH,BOUNTIFUL,
Residential,923.0112,162 EAST 650 NORTH,BOUNTIFUL,
Residential,2785.511,891 NORTH 700 EAST,BOUNTIFUL,
Residential,2241.589,77 NORTH 1050 EAST,BOUNTIFUL,
Residential,1153.759,134 EAST 900 NORTH,BOUNTIFUL,
Residential,1631.738,206 EAST 400 NORTH,BOUNTIFUL,
Residential,1483.402,252 EAST 650 NORTH,BOUNTIFUL,
Residential,6807.175,1243 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,1186.719,178 EAST 650 NORTH,BOUNTIFUL,
Residential,824.1055,268 EAST 650 NORTH,BOUNTIFUL,
Residential,807.6351,440 EAST 900 NORTH,BOUNTIFUL,
Residential,1318.586,810 EAST 900 NORTH,BOUNTIFUL,
Residential,1714.153,356 NORTH 1225 EAST,BOUNTIFUL,
Residential,4071.099,720 EAST 100 NORTH,BOUNTIFUL,
Residential,2225.092,550 EAST 650 NORTH,BOUNTIFUL,
Residential,1450.427,152 EAST 400 NORTH,BOUNTIFUL,
Commercial,1780.076,314 WEST CENTER STREET,BOUNTIFUL,
Residential,1153.758,134 EAST 400 NORTH,BOUNTIFUL,
Residential,2373.432,653 NORTH 975 WEST,WEST BOUNTIFUL,
Utility and Misc,1582.279,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,2637.139,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,2637.153,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,1318.579,892 NORTH 650 EAST,BOUNTIFUL,
Residential,1384.501,92 NORTH 1375 EAST,BOUNTIFUL,
Residential,1582.307,534 EAST 900 NORTH,BOUNTIFUL,
Residential,2472.351,360 NORTH 800 EAST,BOUNTIFUL,
Residential,3708.516,306 EAST 650 NORTH,BOUNTIFUL,
Residential,3296.444,230 WEST CENTER STREET,BOUNTIFUL,
Residential,692.2593,626 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,2670.124,898 NORTH 400 EAST,BOUNTIFUL,
Residential,1054.856,250 EAST 400 NORTH,BOUNTIFUL,
Residential,3692.035,33 NORTH TIERRA VISTA COURT,BOUNTIFUL,
Residential,1977.874,1257 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1977.866,504 EAST 650 NORTH,BOUNTIFUL,
Residential,791.1485,230 EAST 900 NORTH,BOUNTIFUL,
Commercial,11471.59,96 NORTH 500 WEST,BOUNTIFUL,
Commercial,3955.72,830 NORTH 500 WEST,BOUNTIFUL,
Commercial,42029.63,390 NORTH MAIN STREET,BOUNTIFUL,
Residential,2472.343,1373 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,2241.57,74 NORTH 1000 EAST,BOUNTIFUL,
Residential,1186.725,420 EAST 900 NORTH,BOUNTIFUL,
Residential,2472.361,260 EAST 400 NORTH,BOUNTIFUL,
Residential,3692.033,57 NORTH TIERRA VISTA COURT,BOUNTIFUL,
Residential,1977.856,230 EAST 400 NORTH,BOUNTIFUL,
Residential,1087.818,128 EAST 650 NORTH,BOUNTIFUL,
Residential,1384.504,607 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,2472.338,556 EAST 900 NORTH,BOUNTIFUL,
Assembly,22778.47,585 EAST CENTER STREET,BOUNTIFUL,
Residential,10153.07,1187 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1087.822,140 EAST 650 NORTH,BOUNTIFUL,
Residential,4845.783,212 EAST 900 NORTH,BOUNTIFUL,
Residential,5340.224,20 NORTH BOUNTIFUL BOULEVARD,BOUNTIFUL,
Residential,1928.422,894 NORTH CHAPEL DRIVE,BOUNTIFUL,
Residential,2175.65,350 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,1714.158,360 EAST 400 NORTH,BOUNTIFUL,
Residential,2307.517,640 NORTH 400 EAST,BOUNTIFUL,
Residential,2109.725,81 NORTH 750 EAST,BOUNTIFUL,
Residential,1714.16,680 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,1648.236,116 EAST 650 NORTH,BOUNTIFUL,
Residential,4944.659,895 NORTH 900 EAST,BOUNTIFUL,
Residential,2966.812,397 NORTH 300 EAST,BOUNTIFUL,
Residential,1845.993,835 EAST 75 NORTH,BOUNTIFUL,
Residential,4483.156,1321 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,2637.166,150 EAST 650 NORTH,BOUNTIFUL,
Residential,2373.435,893 NORTH 650 EAST,BOUNTIFUL,
Industrial,659.2842,,,
Residential,1846.02,490 EAST 900 NORTH,BOUNTIFUL,
Residential,3955.751,369 NORTH 650 EAST,BOUNTIFUL,
Residential,1730.641,1130 EAST 600 NORTH,BOUNTIFUL,
Utility and Misc,2769.028,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,4713.903,1137 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Government,2241.593,225 SKYHAWK DRIVE,WENDOVER,
Residential,1186.728,965 EAST 900 NORTH,BOUNTIFUL,
Residential,2373.447,87 NORTH 1050 EAST,BOUNTIFUL,
Residential,1582.282,1120 EAST NORTHERN HILLS DRIVE,BOUNTIFUL,
Residential,791.1443,396 NORTH 300 EAST,BOUNTIFUL,
Residential,2571.241,830 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,1961.385,631 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,1714.145,160 EAST 100 NORTH,BOUNTIFUL,
Residential,2801.983,1377 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,2225.096,863 NORTH CHAPEL DRIVE,BOUNTIFUL,
Residential,2109.73,330 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,2109.745,563 EAST 350 NORTH,BOUNTIFUL,
Residential,2538.255,160 EAST 100 NORTH,BOUNTIFUL,
Residential,1269.126,140 EAST 650 NORTH,BOUNTIFUL,
Residential,1499.9,890 NORTH NORTHERN HILLS CIRCLE,BOUNTIFUL,
Residential,791.1519,330 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,923.0018,1243 EAST CENTER STREET,BOUNTIFUL,
Residential,1384.521,945 EAST 550 NORTH,BOUNTIFUL,
Government,2571.228,,,
Residential,6708.244,35 NORTH MOSS HILL DRIVE,BOUNTIFUL,
Residential,1186.721,104 EAST 650 NORTH,BOUNTIFUL,
Residential,906.5227,977 EAST 900 NORTH,BOUNTIFUL,
Commercial,988.9375,399 NORTH MAIN STREET,BOUNTIFUL,
Residential,5620.451,1263 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,2505.291,690 WEST 810 NORTH,WEST BOUNTIFUL,
Residential,2801.978,365 NORTH 1225 EAST,BOUNTIFUL,
Commercial,988.9312,,,
Residential,2505.298,345 NORTH DAVIS BOULEVARD,BOUNTIFUL,
Residential,791.1479,236 EAST 650 NORTH,BOUNTIFUL,
Residential,2801.982,915 NORTH NORTHRIDGE DRIVE,BOUNTIFUL,
Residential,1054.865,364 EAST 100 NORTH,BOUNTIFUL,
Commercial,3560.164,830 NORTH 500 WEST,BOUNTIFUL,
Residential,5851.184,1057 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1153.752,236 EAST 100 NORTH,BOUNTIFUL,
Residential,2373.447,523 EAST 350 NORTH,BOUNTIFUL,
Residential,2851.437,608 NORTH 800 WEST,WEST BOUNTIFUL,
Government,10812.37,,,
Residential,791.1401,890 NORTH MAIN STREET,BOUNTIFUL,
Residential,593.3606,95 NORTH 400 EAST,BOUNTIFUL,
Residential,2472.327,860 NORTH 325 WEST,BOUNTIFUL,
Residential,3279.96,848 EAST 900 NORTH,BOUNTIFUL,
Residential,2373.461,350 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,2966.794,1333 EAST 600 NORTH,BOUNTIFUL,
Residential,6081.953,1371 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,4153.527,1151 EAST 500 NORTH,BOUNTIFUL,
Residential,1846.012,180 EAST 900 NORTH,BOUNTIFUL,
Residential,2637.15,161 WEST 400 NORTH,BOUNTIFUL,
Residential,3428.311,92 NORTH 200 EAST,BOUNTIFUL,
Residential,2999.775,659 EAST 350 NORTH,BOUNTIFUL,
Residential,1318.574,867 NORTH 275 WEST,BOUNTIFUL,
Industrial,1714.146,94 NORTH 100 WEST,BOUNTIFUL,
Residential,4153.532,830 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,2505.316,461 EAST 350 NORTH,BOUNTIFUL,
Residential,1054.872,1087 WEST 700 NORTH,WEST BOUNTIFUL,
Residential,3823.855,1177 EAST 500 NORTH,BOUNTIFUL,
Residential,1054.859,324 EAST 100 NORTH,BOUNTIFUL,
Residential,3906.291,826 NORTH NORTHRIDGE DRIVE,BOUNTIFUL,
Industrial,1054.867,94 NORTH 100 WEST,BOUNTIFUL,
Residential,4202.965,570 EAST 900 NORTH,BOUNTIFUL,
Commercial,1582.306,375 NORTH MAIN STREET,BOUNTIFUL,
Residential,1582.295,338 NORTH 300 WEST,BOUNTIFUL,
Residential,593.3548,1087 WEST 700 NORTH,WEST BOUNTIFUL,
Residential,1714.152,581 NORTH 660 WEST,WEST BOUNTIFUL,
Utility and Misc,2571.238,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,1186.703,1091 EAST CENTER STREET,BOUNTIFUL,
Utility and Misc,2373.436,1007 EAST SKYHAWK DRIVE,WENDOVER,
Government,527.4308,,,
Commercial,2637.141,830 NORTH 500 WEST,BOUNTIFUL,
Residential,3082.17,362 NORTH 600 EAST,BOUNTIFUL,
Residential,527.4286,1049 WEST 700 NORTH,WEST BOUNTIFUL,
Residential,2225.097,90 NORTH 300 EAST,BOUNTIFUL,
Residential,2637.148,576 NORTH 900 EAST,BOUNTIFUL,
Government,527.4363,,,
Utility and Misc,2472.339,1007 EAST SKYHAWK DRIVE,WENDOVER,
Government,527.4343,,,
Residential,2637.16,67 WEST 900 NORTH,BOUNTIFUL,
Residential,2225.097,331 NORTH 750 WEST,WEST BOUNTIFUL,
Residential,3049.225,96 NORTH 100 EAST,BOUNTIFUL,
Commercial,7120.36,360 NORTH 500 WEST,BOUNTIFUL,
Residential,1186.72,617 NORTH 400 EAST,BOUNTIFUL,
Government,527.4277,,,
Government,527.433,,,
Government,527.4333,,,
Residential,1450.447,738 EAST 900 NORTH,BOUNTIFUL,
Residential,1483.4,330 EAST 900 NORTH,BOUNTIFUL,
Residential,1730.642,,,
Residential,2719.565,503 EAST 350 NORTH,BOUNTIFUL,
Commercial,4944.691,620 NORTH 500 WEST,BOUNTIFUL,
Utility and Misc,2571.24,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,2571.234,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,2472.333,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,1054.868,95 NORTH 400 EAST,BOUNTIFUL,
Government,527.4381,,,
Government,527.4283,,,
Residential,1483.411,865 NORTH 325 WEST,BOUNTIFUL,
Residential,10878.28,1239 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1318.581,652 NORTH 975 WEST,WEST BOUNTIFUL,
Commercial,9197.063,71 NORTH 500 WEST,BOUNTIFUL,
Residential,2769.015,515 NORTH 900 EAST,BOUNTIFUL,
Government,527.4293,,,
Government,527.4296,,,
Government,527.4347,,,
Residential,923.0029,,,
Residential,1994.35,921 EAST 900 NORTH,BOUNTIFUL,
Residential,988.9233,135 EAST 100 NORTH,BOUNTIFUL,
Residential,2637.161,902 NORTH NORTHRIDGE DRIVE,BOUNTIFUL,
Residential,1813.048,366 NORTH 350 WEST,BOUNTIFUL,
Residential,1582.301,694 EAST 650 NORTH,BOUNTIFUL,
Residential,1582.295,90 NORTH 1300 EAST,BOUNTIFUL,
Government,2703.066,215 EAST SKYHAWK DRIVE,WENDOVER,
Residential,3296.458,1493 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,2373.438,767 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1582.301,725 EAST 100 NORTH,BOUNTIFUL,
Residential,791.1362,360 NORTH 700 EAST,BOUNTIFUL,
Residential,2109.716,626 EAST 650 NORTH,BOUNTIFUL,
Residential,3560.162,908 NORTH 1050 EAST,BOUNTIFUL,
Residential,1054.862,207 EAST 100 NORTH,BOUNTIFUL,
Residential,2373.449,653 WEST 900 NORTH,WEST BOUNTIFUL,
Residential,1483.417,363 NORTH 300 WEST,BOUNTIFUL,
Residential,2472.347,772 EAST 650 NORTH,BOUNTIFUL,
Residential,1054.852,180 WEST 100 NORTH,BOUNTIFUL,
Residential,3955.737,605 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,395.5714,607 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,1483.395,895 NORTH MAIN STREET,BOUNTIFUL,
Residential,1219.687,1051 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1846.007,,,
Residential,1977.883,140 WEST 100 NORTH,BOUNTIFUL,
Residential,2637.146,977 EAST 350 NORTH,BOUNTIFUL,
Education,137890.3,104 WEST 400 NORTH,BOUNTIFUL,
Residential,2225.106,985 EAST 900 NORTH,BOUNTIFUL,
Residential,1186.712,157 EAST 100 NORTH,BOUNTIFUL,
Commercial,2307.523,830 NORTH 500 WEST,BOUNTIFUL,
Residential,2373.437,638 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,2900.88,923 EAST 75 NORTH,BOUNTIFUL,
Residential,3131.615,1321 EAST 600 NORTH,BOUNTIFUL,
Residential,2307.504,889 NORTH 275 WEST,BOUNTIFUL,
Residential,2472.339,374 NORTH 600 EAST,BOUNTIFUL,
Commercial,2637.165,30 WEST 100 NORTH,BOUNTIFUL,
Residential,2801.981,373 NORTH 600 EAST,BOUNTIFUL,
Residential,4285.404,850 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,2966.807,765 WEST PAGES CIRCLE,WEST BOUNTIFUL,
Residential,4071.116,912 NORTH 1000 EAST,BOUNTIFUL,
Residential,1318.578,181 EAST 100 NORTH,BOUNTIFUL,
Residential,1714.155,385 NORTH 450 EAST,BOUNTIFUL,
Residential,1318.584,639 NORTH 400 EAST,BOUNTIFUL,
Commercial,4746.861,314 WEST CENTER STREET,BOUNTIFUL,
Residential,2900.868,923 NORTH 200 WEST,BOUNTIFUL,
Residential,3626.09,451 WEST 200 NORTH,BOUNTIFUL,
Residential,3642.558,870 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,3131.627,377 NORTH 800 EAST,BOUNTIFUL,
Residential,1846.016,806 EAST 650 NORTH,BOUNTIFUL,
Residential,5686.389,1287 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,988.9334,642 NORTH MAIN STREET,BOUNTIFUL,
Residential,3955.744,757 WEST 845 NORTH,WEST BOUNTIFUL,
Residential,2142.694,631 WEST 900 NORTH,WEST BOUNTIFUL,
Residential,395.5738,1001 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,988.939,195 EAST 100 NORTH,BOUNTIFUL,
Residential,3757.947,1329 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1977.876,1039 WEST 700 NORTH,WEST BOUNTIFUL,
Utility and Misc,2571.224,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,2274.55,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,3296.442,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,2505.295,13 WEST 900 NORTH,BOUNTIFUL,
Residential,1483.393,164 WEST 100 NORTH,BOUNTIFUL,
Residential,4285.377,154 WEST PARK SHADOWS COURT,BOUNTIFUL,
Residential,2505.3,382 NORTH 450 EAST,BOUNTIFUL,
Residential,3626.093,607 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,2966.822,306 WEST 650 NORTH,BOUNTIFUL,
Utility and Misc,5010.616,1007 EAST SKYHAWK DRIVE,WENDOVER,
Government,4615.043,419 SKYHAWK DRIVE,WENDOVER,
Residential,824.1127,42 WEST 100 NORTH,BOUNTIFUL,
Residential,2076.732,182 WEST PARK SHADOWS CIRCLE,BOUNTIFUL,
Residential,4615.021,178 WEST PARK SHADOWS CIRCLE,BOUNTIFUL,
Residential,4202.964,370 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,2867.914,967 EAST 350 NORTH,BOUNTIFUL,
Residential,2637.166,314 WEST 650 NORTH,BOUNTIFUL,
Commercial,9806.909,314 WEST CENTER STREET,BOUNTIFUL,
Residential,1977.861,649 NORTH 500 EAST,BOUNTIFUL,
Residential,2637.154,873 NORTH 700 WEST,WEST BOUNTIFUL,
Residential,1269.134,165 EAST 100 NORTH,BOUNTIFUL,
Residential,2637.158,880 NORTH 325 WEST,BOUNTIFUL,
Residential,1631.745,371 NORTH 1000 EAST,BOUNTIFUL,
Residential,593.3619,650 NORTH 400 EAST,BOUNTIFUL,
Residential,2637.144,101 NORTH 900 EAST,BOUNTIFUL,
Residential,2175.66,1367 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,3955.728,824 WEST HERITAGE POINTE LANE,WEST BOUNTIFUL,
Residential,395.5757,385 NORTH 450 EAST,BOUNTIFUL,
Residential,1780.066,99 NORTH 800 EAST,BOUNTIFUL,
Residential,560.4028,1023 WEST 400 NORTH,WEST BOUNTIFUL,
Industrial,1977.865,,,
Residential,1318.585,891 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,923.012,20 NORTH BOUNTIFUL BOULEVARD,BOUNTIFUL,
Commercial,4384.287,885 NORTH PARK SHADOWS LANE,BOUNTIFUL,
Residential,1813.043,885 NORTH 325 WEST,BOUNTIFUL,
Residential,1153.746,362 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,2142.688,647 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,2521.779,1105 EAST 600 NORTH,BOUNTIFUL,
Residential,4862.26,1307 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,3757.927,836 WEST HERITAGE POINTE LANE,WEST BOUNTIFUL,
Residential,1186.73,1275 WEST 400 NORTH,WEST BOUNTIFUL,
Agriculture,2142.687,383 NORTH 1450 WEST,WEST BOUNTIFUL,
Residential,2571.216,673 NORTH 975 WEST,WEST BOUNTIFUL,
Residential,1813.043,243 EAST 100 NORTH,BOUNTIFUL,
Residential,3461.271,369 NORTH 700 EAST,BOUNTIFUL,
Residential,1483.403,655 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,2241.596,106 NORTH 100 EAST,BOUNTIFUL,
Residential,2637.151,1061 WEST 700 NORTH,WEST BOUNTIFUL,
Residential,445.0123,990 NORTH 500 WEST,BOUNTIFUL,
Commercial,824.1177,391 NORTH 500 WEST,WEST BOUNTIFUL,
Residential,1977.855,136 NORTH TIERRA VISTA COURT,BOUNTIFUL,
Residential,2966.82,366 NORTH DAVIS BOULEVARD,BOUNTIFUL,
Residential,2225.106,1073 WEST 700 NORTH,WEST BOUNTIFUL,
Government,3626.103,,,
Residential,395.5786,755 WEST 1000 NORTH,WEST BOUNTIFUL,
